t,x
2.56,0.982287
2.565,0.980656
2.57,0.975917
2.575,0.973793
2.58,0.968583
2.585,0.965969
2.59,0.960294
2.595,0.957191
2.6,0.951057
2.605,0.94747
2.61,0.940881
2.615,0.936813
2.62,0.929776
2.625,0.925231
2.63,0.917755
2.635,0.912737
2.64,0.904827
2.645,0.899341
2.65,0.891007
2.655,0.885059
2.66,0.876307
2.665,0.869902
2.67,0.860742
2.675,0.853888
2.68,0.844328
2.685,0.83703
2.69,0.827081
2.695,0.819347
2.7,0.809017
2.705,0.800855
2.71,0.790155
2.715,0.781572
2.72,0.770513
2.725,0.761519
2.73,0.750111
2.735,0.740713
2.74,0.728969
2.745,0.719177
2.75,0.707107
2.755,0.696931
2.76,0.684547
2.765,0.673997
2.77,0.661312
2.775,0.650398
2.78,0.637424
2.785,0.626157
2.79,0.612907
2.795,0.601299
2.8,0.587785
2.805,0.575847
2.81,0.562083
2.815,0.549826
2.82,0.535827
2.825,0.523263
2.83,0.509041
2.835,0.496184
2.84,0.481754
2.845,0.468614
2.85,0.45399
2.855,0.440583
2.86,0.425779
2.865,0.412116
2.87,0.397148
2.875,0.383243
2.88,0.368125
2.885,0.353992
2.89,0.338738
2.895,0.324391
2.9,0.309017
2.905,0.294471
2.91,0.278991
2.915,0.264259
2.92,0.24869
2.925,0.233787
2.93,0.218143
2.935,0.203084
2.94,0.187381
2.945,0.172181
2.95,0.156434
2.955,0.141107
2.96,0.125333
2.965,0.109895
2.97,0.0941083
2.975,0.0785739
2.98,0.0627905
2.985,0.0471754
2.99,0.0314108
2.995,0.0157303
3,3.67394e-16
3.005,-0.0157303
3.01,-0.0314108
3.015,-0.0471754
3.02,-0.0627905
3.025,-0.0785739
3.03,-0.0941083
3.035,-0.109895
3.04,-0.125333
3.045,-0.141107
3.05,-0.156434
3.055,-0.172181
3.06,-0.187381
3.065,-0.203084
3.07,-0.218143
3.075,-0.233787
3.08,-0.24869
3.085,-0.264259
3.09,-0.278991
3.095,-0.294471
3.1,-0.309017
3.105,-0.324391
3.11,-0.338738
3.115,-0.353992
3.12,-0.368125
3.125,-0.383243
3.13,-0.397148
3.135,-0.412116
3.14,-0.425779
3.145,-0.440583
3.15,-0.45399
3.155,-0.468614
3.16,-0.481754
3.165,-0.496184
3.17,-0.509041
3.175,-0.523263
3.18,-0.535827
3.185,-0.549826
3.19,-0.562083
3.195,-0.575847
3.2,-0.587785
3.205,-0.601299
3.21,-0.612907
3.215,-0.626157
3.22,-0.637424
3.225,-0.650398
3.23,-0.661312
3.235,-0.673997
